name,nif,address,cp,color,phone,ssn,count_bank
Bernabé Cano-Pinedo,29860337N,"Glorieta Ana Sofía Echevarría 800
Ceuta, 07125",cp: 23919,#ee2ef4,+34875537022,29860337N,count_bank: ES2101218797501443829013
Inocencio Alba Casals,Y8538772J,"C. de Alondra Tamarit 64
Girona, 18537",cp: 34022,#fcc7e3,+34945 016 498,Y8538772J,count_bank: ES7200725743477362589233
Carmelita Navas Verdejo,68278963J,"Camino Juana León 99 Apt. 32 
Salamanca, 17683",cp: 16878,#ce800c,+34 819 89 11 82,68278963J,count_bank: ES0865405112322275527007
Blas Echevarría Ochoa,16983966F,"Vial de Esmeralda Mínguez 9 Apt. 42 
Málaga, 28359",cp: 01160,#fced7b,+34 920398479,16983966F,count_bank: ES5993938864384545182566
Aarón Solsona,66962292T,"Glorieta Lucila Saavedra 86
Burgos, 09943",cp: 12328,#eab8a4,+34 980 325 131,66962292T,count_bank: ES6791703218380860060742
Jacinta de Sabater,A97956338,"Acceso de Andrea Jáuregui 8 Apt. 62 
La Coruña, 02944",cp: 34610,#199906,+34888 78 21 44,A97956338,count_bank: ES4778101958747360959933
Olimpia del Antón,Z1054038E,"Pasadizo Carmela Montes 32 Apt. 88 
Barcelona, 38864",cp: 23003,#58dd8d,+34 885 125 909,Z1054038E,count_bank: ES6323395342768358190318
Odalys Alfonso Silva,63690650Q,"Paseo Sosimo Carnero 89 Piso 0 
Sevilla, 48587",cp: 05967,#7deda8,+34979 50 70 07,63690650Q,count_bank: ES8163737035650276253439
Jesús Esparza Montserrat,U4576999I,"C. de Haydée Barriga 15 Puerta 6 
Badajoz, 45045",cp: 22613,#74edd2,+34827 39 00 99,U4576999I,count_bank: ES7671937639979035280621
Silvia Miranda Elías,P7572551E,"Cañada Eladio Ibáñez 13 Piso 4 
Huesca, 20235",cp: 09049,#ef34dd,+34926 88 48 72,P7572551E,count_bank: ES5598323346221253614108
Ángeles Torralba Anguita,95745419F,"Urbanización Pelayo Silva 5 Puerta 7 
Baleares, 41999",cp: 12143,#46e287,+34 645 04 37 99,95745419F,count_bank: ES2893895798593658299743
Josefina Márquez Cortina,W7943800H,"Acceso de Hipólito Pérez 7 Apt. 98 
Lleida, 33984",cp: 33689,#80ccd6,+34927352186,W7943800H,count_bank: ES6683912482792845528888
Jenny Patiño-Lamas,Y7724071H,"Cañada Vidal Soriano 89
La Coruña, 51805",cp: 25211,#c1862e,+34 710881430,Y7724071H,count_bank: ES5590651422528171791348
Josefa Cabrera Boix,E42017376,"Alameda de Ainoa Patiño 592
Cuenca, 11983",cp: 45502,#9bdd27,+34 981 10 12 14,E42017376,count_bank: ES5090389084814680232412
Rosario Prieto Sevillano,X5887209Z,"Alameda de José Luis Roma 74
Granada, 03971",cp: 28578,#7ff9b2,+34 978 20 23 32,X5887209Z,count_bank: ES6184675694799164523241
Damián Zamora Navarro,07304765B,"Acceso Édgar Perez 4 Apt. 38 
Valladolid, 38176",cp: 34742,#db48bb,+34846 19 68 38,07304765B,count_bank: ES5801009168619397372023
Sabina Llamas Peñas,Y5380222F,"Pasaje de Florinda Ortuño 424 Apt. 60 
Alicante, 35054",cp: 32808,#12188c,+34 947372786,Y5380222F,count_bank: ES7660673809620928492295
Paloma Azucena Olivé Mendizábal,X0726362E,"Vial Amador Planas 9
Ávila, 36141",cp: 43242,#54e557,+34982 493 361,X0726362E,count_bank: ES7876244438009990076564
Itziar Sobrino Cerdán,G56049166,"Rambla de Ismael Montero 15
Madrid, 33553",cp: 23550,#2334ef,+34 825 79 00 68,G56049166,count_bank: ES0418631144153376755311
Ismael Vergara Mateos,67234504F,"Urbanización Marisol Mena 92 Piso 6 
Ourense, 49093",cp: 51279,#aba2e5,+34 844 32 66 77,67234504F,count_bank: ES2389235777256187995702
Florentino Benavides Mancebo,65580533N,"Callejón de Aurelia Castells 717
Guipúzcoa, 16890",cp: 01310,#f8ff38,+34 872161019,65580533N,count_bank: ES7001819996188668936062
Soledad de Salamanca,Z6553581N,"Acceso Débora Hernandez 71 Puerta 0 
Girona, 17281",cp: 15793,#c4cbfc,+34 900 077 520,Z6553581N,count_bank: ES4266849870987483393931
Felisa Ferrán Blanca,66393665W,"Callejón de Hortensia Jordá 27
La Rioja, 10530",cp: 07844,#81ef9e,+34 879 79 28 32,66393665W,count_bank: ES2578797247875765721128
Piedad del Crespo,04029065V,"Callejón Macarena Reguera 3 Puerta 4 
Granada, 39732",cp: 39564,#84f9e6,+34 737064405,04029065V,count_bank: ES2619741470007741049103
Flora Medina Marqués,62320929Z,"Urbanización Cándida Cerezo 30
Baleares, 20011",cp: 22206,#69dbcd,+34803208100,62320929Z,count_bank: ES7125743866193039863059
Francisco Jose Beltrán Cano,37443567G,"Calle Paz Luján 78
Cádiz, 31898",cp: 28647,#f5fcae,+34 927 11 89 35,37443567G,count_bank: ES5874450773298180885007
Albino Severiano Bustamante Sandoval,84024524G,"Vial de Hector Isern 28
Valladolid, 05510",cp: 05769,#f835ff,+34 944 78 12 27,84024524G,count_bank: ES8862234284995949212540
Marisela Riba Falcón,C65901530,"Paseo Estela Royo 4
Segovia, 03220",cp: 07931,#a7d2f9,+34947 869 736,C65901530,count_bank: ES9329648927049681469108
Melchor Prado-Lasa,R7294089C,"Camino Octavio Lillo 2 Piso 4 
Soria, 04444",cp: 09070,#ffd182,+34981 499 890,R7294089C,count_bank: ES5144970862341530780947
Salomé Ruano Peiró,87481151F,"Pasadizo de Mar Jiménez 75
Valencia, 21388",cp: 29855,#89d13c,+34 973444364,87481151F,count_bank: ES2819477114545753618366
Nicolás Tamayo Duarte,D27219294,"Acceso de Remedios Quintero 536 Puerta 6 
Girona, 28722",cp: 01375,#c2cff9,+34 828 536 887,D27219294,count_bank: ES7121156657116371714678
Noé Quirós Grande,W1933645B,"Rambla de Gastón Jover 17
Murcia, 48180",cp: 29667,#ffd3c6,+34 827 361 539,W1933645B,count_bank: ES2985417825692242085478
Hilda Iborra-Castillo,Y3922249G,"Calle Luis Benito 17
Segovia, 14072",cp: 33809,#52d80a,+34 806398267,Y3922249G,count_bank: ES0443115790987835760681
Roldán Seco Frutos,P2924794G,"Cuesta Manu Correa 34 Apt. 74 
Murcia, 25301",cp: 31465,#ed9cdd,+34 901 663 237,P2924794G,count_bank: ES4078761068300513302173
Remedios Amigó Isern,Y5639804B,"Cañada de Renato Alba 16 Apt. 53 
Salamanca, 14635",cp: 16591,#e204bd,+34882 14 98 89,Y5639804B,count_bank: ES1833963044372691167561
Josefina Morcillo Mendez,X2129469Z,"Via Elías Fuster 46 Apt. 62 
Albacete, 18882",cp: 04816,#eadf3c,+34 978876221,X2129469Z,count_bank: ES5500132845596154608814
Juan Manuel Arjona Alfaro,33543570W,"Paseo de Flavio Ortuño 246 Puerta 2 
Albacete, 12377",cp: 07482,#63ed81,+34 717 334 826,33543570W,count_bank: ES7989172842897016364935
Hernán Gutiérrez Tormo,22103106Z,"Callejón de Benita Portero 6
Zamora, 05244",cp: 06045,#e79af4,+34880 68 16 80,22103106Z,count_bank: ES4685128365394856456753
Severo Arsenio Plaza Mármol,89634596P,"Avenida de Maricela Sandoval 904
Santa Cruz de Tenerife, 42949",cp: 08488,#fc2de7,+34884830590,89634596P,count_bank: ES1723363839535987752024
Trinidad Erasmo Pallarès Quintana,B84829118,"Camino de Gilberto Sevilla 43
Barcelona, 07186",cp: 06393,#dde88b,+34823 951 571,B84829118,count_bank: ES6452419896495285689336
Alejandro Cuervo Avilés,H93218964,"Pasaje de Loida Salmerón 34 Apt. 81 
Murcia, 38523",cp: 34945,#da84e0,+34883 345 523,H93218964,count_bank: ES5657217362409174982364
Noelia Castrillo Adadia,R9400633E,"Via de Hernán Pulido 39
Navarra, 15482",cp: 50842,#b28a1a,+34 988 934 074,R9400633E,count_bank: ES4345900224224431851706
Jose Francisco Íñigo Adadia Roca,X7921886L,"Acceso Celia Ibarra 18
Ourense, 41876",cp: 51401,#0a9996,+34 928 14 64 68,X7921886L,count_bank: ES2163144498096702772407
Gastón Olivares Exposito,11577866B,"Acceso de Consuelo Requena 81 Puerta 4 
Almería, 01704",cp: 52049,#f6c7fc,+34 886935745,11577866B,count_bank: ES2626645600198556419609
Adelia Aliaga Soler,63759707G,"Vial Benito Borrego 48
Santa Cruz de Tenerife, 46234",cp: 08739,#79a80d,+34 936 015 067,63759707G,count_bank: ES1759478615667024321331
Fanny Pizarro Arteaga,B33805326,"Via de Berta Pinto 566 Puerta 1 
Zamora, 20793",cp: 04056,#e28cce,+34 841153942,B33805326,count_bank: ES9345176981871598843279
Blanca Collado Hierro,Y0411283B,"Pasaje de Yago Villaverde 88
Badajoz, 24672",cp: 38839,#0c3666,+34844 74 48 85,Y0411283B,count_bank: ES3435238803810390890556
Anastasio Fernandez Viña,E08806168,"C. Atilio Cal 49
Córdoba, 10147",cp: 18411,#cbf450,+34971227519,E08806168,count_bank: ES6893230945322843654259
Efraín Gárate Mora,X3526283S,"Calle Teobaldo Vergara 608
Santa Cruz de Tenerife, 15056",cp: 29336,#98f9d9,+34 702 94 26 40,X3526283S,count_bank: ES2573579560585436122115
Simón Santamaría Aliaga,A93686798,"Rambla de Josefina Aller 8 Piso 6 
Sevilla, 06633",cp: 02448,#5bd639,+34 959 384 673,A93686798,count_bank: ES8780244338576794877980
Marita de Cañas,59683935Q,"Glorieta de Nazario Riquelme 8
Santa Cruz de Tenerife, 13131",cp: 26860,#97fc97,+34 974 81 50 14,59683935Q,count_bank: ES1149442127014231363701
Rogelio Batalla-Angulo,Q1066218G,"Cañada de Melania Valencia 533
Teruel, 26077",cp: 10010,#3fe24a,+34 821 72 80 16,Q1066218G,count_bank: ES9116086521467226240812
Eugenia Vázquez Amorós,98905942P,"Callejón Olivia Cuesta 95
Cáceres, 27251",cp: 48211,#8a6bce,+34 925 82 33 81,98905942P,count_bank: ES7105397580003972877724
Zaida Jaén-Moraleda,C21147194,"Pasadizo de Pánfilo Marquez 2
Álava, 45338",cp: 21231,#68bcdd,+34 883620403,C21147194,count_bank: ES0565612817036464674909
Loida Castejón,C60302130,"Vial de Remigio Abella 7 Apt. 53 
Huelva, 30414",cp: 49972,#9bd1dd,+34 982 79 16 06,C60302130,count_bank: ES2700185456328883484280
Chuy Fajardo,46296470T,"Avenida Nicolás Pina 16
La Rioja, 31625",cp: 14672,#fcc7e4,+34 874 525 150,46296470T,count_bank: ES7334113766526989156223
Danilo Abella,Y8275069M,"Pasadizo Vera Cisneros 15
Vizcaya, 29877",cp: 12485,#5b0699,+34981377329,Y8275069M,count_bank: ES7335745803416835221236
Clara Rivero Miralles,B73170524,"Camino Pepe Casares 3 Apt. 24 
Madrid, 39577",cp: 37341,#99efbb,+34881437634,B73170524,count_bank: ES5459097671531759597791
Nuria Montoya-Bonilla,Z6071906A,"Rambla de Cipriano Gomez 810
La Rioja, 44871",cp: 32917,#41e241,+34 812 650 169,Z6071906A,count_bank: ES8042142392927632409442
Toribio Diego,83478301P,"Rambla Apolonia Tomé 10 Piso 7 
La Rioja, 48765",cp: 14368,#dd54a4,+34876483545,83478301P,count_bank: ES7472318601735044718889
Mamen Amo Quintanilla,Z2268103D,"Via Aura Medina 189 Puerta 7 
León, 29621",cp: 13102,#bcd804,+34 902 331 734,Z2268103D,count_bank: ES9613214832749673900205
Renata Briones Palau,89289348J,"Callejón de Bautista Gárate 1
Málaga, 03370",cp: 18693,#b0e072,+34975 76 50 70,89289348J,count_bank: ES8332495558254311433647
Esther Vigil Trillo,X4725093L,"Ronda Domingo Mendez 22
La Coruña, 41233",cp: 33633,#7d9be8,+34873744242,X4725093L,count_bank: ES3208336207207408653803
Rosa María Priego Casanova,X7770724J,"Rambla de Fanny Gomez 698
Asturias, 47537",cp: 25515,#8ac41f,+34 973 93 09 02,X7770724J,count_bank: ES1283018989157299619290
Remigio Alegre-Codina,U5079018G,"Alameda de Anna Estevez 70
Murcia, 34057",cp: 21142,#d1952e,+34 822 72 07 78,U5079018G,count_bank: ES7475672226867493663024
Olegario Téllez-Oliva,Z7907209K,"Acceso Abril Caballero 8
Pontevedra, 07683",cp: 05238,#e8b614,+34826 15 61 14,Z7907209K,count_bank: ES0939486408826396258625
Pepita Verdugo Burgos,48257730G,"Callejón de Mamen Criado 27 Apt. 99 
Ceuta, 01176",cp: 22015,#d811a3,+34939 62 11 89,48257730G,count_bank: ES3421064093827652376520
Roque Maestre Barral,62335328S,"Urbanización Julio César Bustamante 536
Navarra, 22613",cp: 02047,#ed80de,+34862 567 968,62335328S,count_bank: ES2313692410954152393427
Maite Lamas Bayón,H62385620,"Camino Gilberto Saavedra 1 Piso 9 
Huelva, 04188",cp: 12538,#4562f7,+34 842 91 10 28,H62385620,count_bank: ES0290460241906672472974
Genoveva Torrens Otero,Z9700413F,"Urbanización Rebeca Prieto 32
Murcia, 38918",cp: 32321,#7bed99,+34807 06 07 68,Z9700413F,count_bank: ES9497238654159744082006
Natalio Echeverría-Sáez,91577100R,"Urbanización de Salvador Escrivá 26
Palencia, 45392",cp: 42761,#a296f7,+34882365254,91577100R,count_bank: ES8952728805012171273201
Amado Robledo Frías,B33313610,"Camino Francisco Tejada 984
Cádiz, 07905",cp: 37052,#f6c9ff,+34 824 196 906,B33313610,count_bank: ES2784033492670736395809
Clara Belmonte-Mancebo,F5773786H,"Ronda Amor Palacios 80
Baleares, 26381",cp: 17327,#9b1f3e,+34744791227,F5773786H,count_bank: ES2360700726541023843017
Jimena Aliaga Pulido,X7599638R,"Via de Adoración Torrijos 22 Apt. 71 
Barcelona, 04252",cp: 38569,#f9b766,+34 825 462 229,X7599638R,count_bank: ES3182509220423472847687
Dionisia Martí Vera,H53399424,"Calle Herminia Reina 90 Apt. 27 
Alicante, 05127",cp: 21518,#bc2f6c,+34 943 959 258,H53399424,count_bank: ES8120149332108588070233
Kike Calleja Sales,81023092A,"Pasadizo de Angelita Acedo 1 Puerta 7 
Almería, 32971",cp: 28578,#58d3cf,+34826 694 789,81023092A,count_bank: ES7401159521327149336411
Isidro Pinilla,Z4073089R,"Pasaje de Candela Zurita 7
Valencia, 30298",cp: 35021,#5f8dbf,+34734 657 716,Z4073089R,count_bank: ES0326345981784664085404
Jose Manuel Núñez Diéguez,X8932113V,"Cañada Noé Gutierrez 9
Valladolid, 16277",cp: 39793,#73ed63,+34 717588021,X8932113V,count_bank: ES1588480443704266919158
